sku_obramat,name,category,model_series,finish_color,thickness_mm,price_cost,dimensions_width,dimensions_height,dimensions_depth,unit,url_origen,brand,active,id,created_date,updated_date,created_by_id,created_by,is_sample
"25070840","Fregadero Rodi 65x50","electrodomestico","","","","65","65","50","16","ud","","Rodi","true","694403d472faa0bdc8c4327d","2025-12-18T13:38:28.038000","2025-12-18T13:38:28.038000","anonymous","anonymous","false"
"25112304","Fregadero resina 49x46","electrodomestico","","","","129","49","46","19","ud","","Generic","true","694403d472faa0bdc8c4327b","2025-12-18T13:38:28.038000","2025-12-18T13:38:28.038000","anonymous","anonymous","false"
"10736670","Fregadero Teka 43x43","electrodomestico","","","","49","44","44","18","ud","","Teka","true","694403d472faa0bdc8c43279","2025-12-18T13:38:28.038000","2025-12-18T13:38:28.038000","anonymous","anonymous","false"
"10736684","Fregadero 1 seno Teka+escurridor 78x43","electrodomestico","","","","46","78","44","15","ud","","Teka","true","694403d472faa0bdc8c43275","2025-12-18T13:38:28.038000","2025-12-18T13:38:28.038000","anonymous","anonymous","false"
"25112315","Fregadero resina 78x50","electrodomestico","","","","145","78","50","19","ud","","Generic","true","694403d472faa0bdc8c4327c","2025-12-18T13:38:28.038000","2025-12-18T13:38:28.038000","anonymous","anonymous","false"
"25032880","Fregadero Teka 71x44","electrodomestico","","","","179","71","44","20","ud","","Teka","true","694403d472faa0bdc8c4327a","2025-12-18T13:38:28.038000","2025-12-18T13:38:28.038000","anonymous","anonymous","false"
"10736656","Fregadero Teka 50x51","electrodomestico","","","","39","51","50","15","ud","","Teka","true","694403d472faa0bdc8c4327e","2025-12-18T13:38:28.038000","2025-12-18T13:38:28.038000","anonymous","anonymous","false"
"10736663","Fregadero Teka redondo 45","electrodomestico","","","","39","45","45","16","ud","","Teka","true","694403d472faa0bdc8c43278","2025-12-18T13:38:28.038000","2025-12-18T13:38:28.038000","anonymous","anonymous","false"
"25070841","Fregadero 1 seno Rodi 48x48","electrodomestico","","","","52","48","48","16","ud","","Rodi","true","694403d472faa0bdc8c43274","2025-12-18T13:38:28.038000","2025-12-18T13:38:28.038000","anonymous","anonymous","false"
"10736712","Fregadero 2 senos Teka 79x50","electrodomestico","","","","54","79","50","16","ud","","Teka","true","694403d472faa0bdc8c43276","2025-12-18T13:38:28.038000","2025-12-18T13:38:28.038000","anonymous","anonymous","false"
"25032864","Fregadero Teka 54x44","electrodomestico","","","","135","54","44","20","ud","","Teka","true","694403d472faa0bdc8c43277","2025-12-18T13:38:28.038000","2025-12-18T13:38:28.038000","anonymous","anonymous","false"
"25070688","Casco bajo 80x80x58","carcass","","","","42","80","80","58","ud","","Generic","true","6943fbb5b3082a44a8a75f63","2025-12-18T13:03:49.189000","2025-12-18T13:03:49.189000","anonymous","anonymous","false"
"25070681","Casco bajo 80x60x58","carcass","","","","34","60","80","58","ud","","Generic","true","6943fbb5b3082a44a8a75f64","2025-12-18T13:03:49.189000","2025-12-18T13:03:49.189000","anonymous","anonymous","false"
"25070704","Casco alto 80x60x35","carcass","","","","29","60","80","35","ud","","Generic","true","6943fbb5b3082a44a8a75f62","2025-12-18T13:03:49.189000","2025-12-18T13:03:49.189000","anonymous","anonymous","false"
"10641822","Regleta Mallorca 240x3","accessory","","","","29","240","3","2","ud","","Mallorca","true","6943fbb5b3082a44a8a75f61","2025-12-18T13:03:49.189000","2025-12-18T13:03:49.189000","anonymous","anonymous","false"
"25070706","Casco alto 80x80x35","carcass","","","","32","80","80","35","ud","","Generic","true","6943fbb5b3082a44a8a75f65","2025-12-18T13:03:49.189000","2025-12-18T13:03:49.189000","anonymous","anonymous","false"
"25070707","Casco alto 80x45x35","carcass","","","","25","45","80","35","ud","","Generic","true","6943fbb5b3082a44a8a75f66","2025-12-18T13:03:49.189000","2025-12-18T13:03:49.189000","anonymous","anonymous","false"
"25070690","Casco columna 231x60x58","carcass","","","","67","60","231","58","ud","","Generic","true","6943fbb5b3082a44a8a75f67","2025-12-18T13:03:49.189000","2025-12-18T13:03:49.189000","anonymous","anonymous","false"
"10641821","Ocalo Mallorca 240x10","zocalo","","","","40","240","10","2","ud","","Mallorca","true","6943fbb5b3082a44a8a75f60","2025-12-18T13:03:49.189000","2025-12-18T13:03:49.189000","anonymous","anonymous","false"
"25071595","Kit 2 Puertas Mallorca 80x37/80x35","puerta","Mallorca","Blanco brillo","22","100","70","80","2","ud","https://www.obramat.es/p/productos/puerta-para-mueble-de-cocina-mallorca-blanco-brillo-mdf-80x37-80x35cm-25071595.html","Mallorca","true","6943f54ae3ea0c3e002fb069","2025-12-18T12:36:26.334000","2025-12-18T12:36:26.334000","anonymous","anonymous","false"
"25071553","Puerta Mallorca 80x50 Izquierda","puerta","Mallorca","Blanco brillo","22","67","50","80","2","ud","https://www.obramat.es/p/productos/puerta-para-mueble-de-cocina-mallorca-blanco-brillo-mdf-izquierda-80x50cm-25071553.html","Mallorca","true","6943f0d8a993dd37c0a598b7","2025-12-18T12:17:28.271000","2025-12-18T12:17:28.271000","anonymous","anonymous","false"
"25071588","Puerta Mallorca 140x60 Derecha","puerta","Mallorca","Blanco brillo","22","113","60","140","2","ud","https://www.obramat.es/p/productos/puerta-para-mueble-de-cocina-mallorca-blanco-brillo-mdf-derecha-140x60cm-25071588.html","Mallorca","true","6943ec08a84116d5810537ae","2025-12-18T11:56:56.104000","2025-12-18T11:56:56.104000","anonymous","anonymous","false"
"25071555","Frente Mallorca 40x60","frente","Mallorca","Blanco brillo","22","59","60","40","2","ud","https://www.obramat.es/p/productos/frente-cajon-para-mueble-de-cocina-mallorca-blanco-brillo-mdf-40x60cm-25071555.html","Mallorca","true","6943ea661940c6d244403703","2025-12-18T11:49:58.754000","2025-12-18T11:49:58.754000","anonymous","anonymous","false"
"25071571","Frente Mallorca 20x60","frente","Mallorca","Blanco brillo","22","41","60","20","2","ud","https://www.obramat.es/p/productos/frente-cajon-para-mueble-de-cocina-mallorca-blanco-brillo-mdf-20x60cm-25071571.html","Mallorca","true","6943ea015539dd7600b798e1","2025-12-18T11:48:17.427000","2025-12-18T11:48:17.427000","anonymous","anonymous","false"
"25071583","Puerta Mallorca 140x60 Izquierda","puerta","Mallorca","Blanco brillo","22","113","60","140","2","ud","https://www.obramat.es/p/productos/puerta-para-mueble-de-cocina-mallorca-blanco-brillo-mdf-izquierda-140x60cm-25071583.html","Mallorca","true","6943e982cb79449d50cd612f","2025-12-18T11:46:10.795000","2025-12-18T11:46:10.795000","anonymous","anonymous","false"
